# S = концентрация бисфосфата в кювете
# V = delta D/min
0.00018181818182     0.08933333333333
9.09090909090909E-05 0.09266666666667
4.54545454545455E-05 0.08866666666667
2.27272727272727E-05 0.08266666666667
2.27272727272727E-05 0.08533333333333
1.81818181818182E-05 0.08
1.36363636363636E-05 0.08
9.09090909090909E-06 0.08466666666667
4.54545454545455E-06 0.08
2.27272727272727E-06 0.07666666666667
2.27272727272727E-06 0.05866666666667
1.81818181818182E-06 0.04933333333333
1.36363636363636E-06 0.014
9.09090909090909E-07 0.004
#4.54545454545455E-07 -0.00133333333333

